group,Date,day_of_week,interval,interval_cct
A,2025-08-01,Friday,00:00,328.23
A,2025-08-01,Friday,00:30,328.23
A,2025-08-01,Friday,01:00,328.23
A,2025-08-01,Friday,01:30,328.23
A,2025-08-01,Friday,02:00,328.23
A,2025-08-01,Friday,02:30,328.23
A,2025-08-01,Friday,03:00,328.23
A,2025-08-01,Friday,03:30,328.23
A,2025-08-01,Friday,04:00,328.23
A,2025-08-01,Friday,04:30,328.23
A,2025-08-01,Friday,05:00,328.23
A,2025-08-01,Friday,05:30,328.23
A,2025-08-01,Friday,06:00,328.23
A,2025-08-01,Friday,06:30,328.23
A,2025-08-01,Friday,07:00,328.23
A,2025-08-01,Friday,07:30,347.33
A,2025-08-01,Friday,08:00,283.37
A,2025-08-01,Friday,08:30,291.36
A,2025-08-01,Friday,09:00,307.96
A,2025-08-01,Friday,09:30,310.78
A,2025-08-01,Friday,10:00,318.01
A,2025-08-01,Friday,10:30,321.14
A,2025-08-01,Friday,11:00,321.83
A,2025-08-01,Friday,11:30,324.54
A,2025-08-01,Friday,12:00,309.98
A,2025-08-01,Friday,12:30,323.22
A,2025-08-01,Friday,13:00,329.46
A,2025-08-01,Friday,13:30,327.38
A,2025-08-01,Friday,14:00,318.77
A,2025-08-01,Friday,14:30,327.79
A,2025-08-01,Friday,15:00,316.3
A,2025-08-01,Friday,15:30,326.83
A,2025-08-01,Friday,16:00,331.17
A,2025-08-01,Friday,16:30,330.59
A,2025-08-01,Friday,17:00,330.23
A,2025-08-01,Friday,17:30,326.69
A,2025-08-01,Friday,18:00,320.23
A,2025-08-01,Friday,18:30,347.32
A,2025-08-01,Friday,19:00,349.3
A,2025-08-01,Friday,19:30,325.21
A,2025-08-01,Friday,20:00,340.58
A,2025-08-01,Friday,20:30,306.58
A,2025-08-01,Friday,21:00,326.06
A,2025-08-01,Friday,21:30,324.62
A,2025-08-01,Friday,22:00,322.97
A,2025-08-01,Friday,22:30,377.49
A,2025-08-01,Friday,23:00,328.23
A,2025-08-01,Friday,23:30,328.23
A,2025-08-02,Saturday,00:00,316.72
A,2025-08-02,Saturday,00:30,316.72
A,2025-08-02,Saturday,01:00,316.72
A,2025-08-02,Saturday,01:30,316.72
A,2025-08-02,Saturday,02:00,316.72
A,2025-08-02,Saturday,02:30,316.72
A,2025-08-02,Saturday,03:00,316.72
A,2025-08-02,Saturday,03:30,316.72
A,2025-08-02,Saturday,04:00,316.72
A,2025-08-02,Saturday,04:30,316.72
A,2025-08-02,Saturday,05:00,316.72
A,2025-08-02,Saturday,05:30,316.72
A,2025-08-02,Saturday,06:00,316.72
A,2025-08-02,Saturday,06:30,316.72
A,2025-08-02,Saturday,07:00,316.72
A,2025-08-02,Saturday,07:30,300.7
A,2025-08-02,Saturday,08:00,255.4
A,2025-08-02,Saturday,08:30,282.86
A,2025-08-02,Saturday,09:00,281.18
A,2025-08-02,Saturday,09:30,276.87
A,2025-08-02,Saturday,10:00,294.11
A,2025-08-02,Saturday,10:30,292.68
A,2025-08-02,Saturday,11:00,300.93
A,2025-08-02,Saturday,11:30,296.4
A,2025-08-02,Saturday,12:00,301.21
A,2025-08-02,Saturday,12:30,302.84
A,2025-08-02,Saturday,13:00,305.99
A,2025-08-02,Saturday,13:30,307.74
A,2025-08-02,Saturday,14:00,312.99
A,2025-08-02,Saturday,14:30,308.65
A,2025-08-02,Saturday,15:00,306.53
A,2025-08-02,Saturday,15:30,311.49
A,2025-08-02,Saturday,16:00,325.16
A,2025-08-02,Saturday,16:30,296.18
A,2025-08-02,Saturday,17:00,308.84
A,2025-08-02,Saturday,17:30,316.01
A,2025-08-02,Saturday,18:00,321.6
A,2025-08-02,Saturday,18:30,330.01
